"","date","vax1","agec","hh_infected","countsUninf","countsInf"
"463",2020-08-17,FALSE,1,FALSE,40,0
"464",2020-08-17,FALSE,2,FALSE,99,0
"465",2020-08-17,FALSE,3,FALSE,61,0
"466",2020-08-17,FALSE,1,TRUE,37,0
"467",2020-08-17,FALSE,2,TRUE,70,0
"468",2020-08-17,FALSE,3,TRUE,37,0
"469",2020-08-18,FALSE,1,FALSE,40,0
"470",2020-08-18,FALSE,2,FALSE,99,0
"471",2020-08-18,FALSE,3,FALSE,61,0
"472",2020-08-18,FALSE,1,TRUE,37,0
"473",2020-08-18,FALSE,2,TRUE,70,0
"474",2020-08-18,FALSE,3,TRUE,37,0
"475",2020-08-19,FALSE,1,FALSE,40,0
"476",2020-08-19,FALSE,2,FALSE,99,0
"477",2020-08-19,FALSE,3,FALSE,61,0
"478",2020-08-19,FALSE,1,TRUE,37,0
"479",2020-08-19,FALSE,2,TRUE,70,0
"480",2020-08-19,FALSE,3,TRUE,37,0
"481",2020-08-20,FALSE,1,FALSE,40,0
"482",2020-08-20,FALSE,2,FALSE,99,0
"483",2020-08-20,FALSE,3,FALSE,61,0
"484",2020-08-20,FALSE,1,TRUE,37,0
"485",2020-08-20,FALSE,2,TRUE,70,0
"486",2020-08-20,FALSE,3,TRUE,37,0
"487",2020-08-21,FALSE,1,FALSE,40,0
"488",2020-08-21,FALSE,2,FALSE,99,0
"489",2020-08-21,FALSE,3,FALSE,61,0
"490",2020-08-21,FALSE,1,TRUE,37,0
"491",2020-08-21,FALSE,2,TRUE,70,0
"492",2020-08-21,FALSE,3,TRUE,37,0
"493",2020-08-22,FALSE,1,FALSE,40,0
"494",2020-08-22,FALSE,2,FALSE,99,0
"495",2020-08-22,FALSE,3,FALSE,61,0
"496",2020-08-22,FALSE,1,TRUE,37,0
"497",2020-08-22,FALSE,2,TRUE,70,0
"498",2020-08-22,FALSE,3,TRUE,37,0
"499",2020-08-23,FALSE,1,FALSE,40,0
"500",2020-08-23,FALSE,2,FALSE,99,0
"501",2020-08-23,FALSE,3,FALSE,61,0
"502",2020-08-23,FALSE,1,TRUE,37,0
"503",2020-08-23,FALSE,2,TRUE,70,0
"504",2020-08-23,FALSE,3,TRUE,37,0
"505",2020-08-24,FALSE,1,FALSE,40,0
"506",2020-08-24,FALSE,2,FALSE,99,0
"507",2020-08-24,FALSE,3,FALSE,61,0
"508",2020-08-24,FALSE,1,TRUE,37,0
"509",2020-08-24,FALSE,2,TRUE,70,0
"510",2020-08-24,FALSE,3,TRUE,37,0
"511",2020-08-25,FALSE,1,FALSE,40,0
"512",2020-08-25,FALSE,2,FALSE,99,0
"513",2020-08-25,FALSE,3,FALSE,61,0
"514",2020-08-25,FALSE,1,TRUE,37,0
"515",2020-08-25,FALSE,2,TRUE,70,0
"516",2020-08-25,FALSE,3,TRUE,37,0
"517",2020-08-26,FALSE,1,FALSE,40,0
"518",2020-08-26,FALSE,2,FALSE,99,0
"519",2020-08-26,FALSE,3,FALSE,61,0
"520",2020-08-26,FALSE,1,TRUE,37,0
"521",2020-08-26,FALSE,2,TRUE,70,0
"522",2020-08-26,FALSE,3,TRUE,37,0
"523",2020-08-27,FALSE,1,FALSE,40,0
"524",2020-08-27,FALSE,2,FALSE,99,0
"525",2020-08-27,FALSE,3,FALSE,61,0
"526",2020-08-27,FALSE,1,TRUE,37,0
"527",2020-08-27,FALSE,2,TRUE,70,0
"528",2020-08-27,FALSE,3,TRUE,37,0
"529",2020-08-28,FALSE,1,FALSE,40,0
"530",2020-08-28,FALSE,2,FALSE,99,0
"531",2020-08-28,FALSE,3,FALSE,61,0
"532",2020-08-28,FALSE,1,TRUE,37,0
